# time,roll_L,pitch_L,yaw_L,roll_R,pitch_R,yaw_R
132026.000000,1.382890,-0.536849,-89.214683,1.615430,0.354732,-88.285940
132027.000000,165.456827,-16.037432,-124.953816,3.394839,-18.809318,-85.078172
132028.000000,166.592986,-3.388627,-36.444326,-8.911403,-1.235173,-44.962515
132029.000000,167.031541,-7.407435,-9.692050,-10.628529,0.557097,-47.143252
132030.000000,170.869316,-6.200412,-9.789887,-8.733586,-0.361066,-45.479758
132031.000000,8.873047,-0.100990,-88.195950,144.458836,9.627837,-122.231172
132032.000000,129.948707,13.632344,-117.973426,-70.281474,-25.776648,-95.519963
132033.000000,28.232551,12.198289,-72.348742,-176.097328,-2.704566,-109.485659
132034.000000,-38.092702,-14.187618,-83.735869,102.565084,13.160952,-100.424661
132035.000000,-79.575606,-14.238465,-95.775523,74.059746,8.579661,-93.322393
132036.000000,-79.559481,-13.130756,-94.166474,91.953248,9.299151,-95.319881
132037.000000,-110.937376,-12.908672,-92.275963,69.039463,6.478296,-87.908635
132038.000000,164.250270,-7.722683,-98.954905,-6.370207,-3.324180,-86.376982
132039.000000,88.534792,-5.852150,-95.499651,-68.160577,-5.753176,-87.558581
132040.000000,46.776433,-2.060766,-95.058229,-102.393976,-2.633420,-87.352010
132041.000000,22.929885,2.845211,-95.324656,-129.700023,-3.172973,-91.468887
132042.000000,-54.429811,5.273121,-84.871199,151.325136,0.648244,-92.229645
132043.000000,-118.962121,-2.254856,-77.249266,93.358108,-0.270425,-85.375309
132044.000000,-122.779779,-3.706689,-76.857578,91.169578,1.038898,-82.936902
132045.000000,-154.349138,-8.066898,-80.778621,57.977598,1.289178,-81.811775
132046.000000,45.410643,2.059262,-104.289054,-108.791713,-7.317178,-102.248577
132047.000000,-40.826055,3.289543,-91.655247,151.130918,3.728126,-105.660735
132048.000000,-85.299716,0.350001,-87.490930,106.046084,8.900140,-97.630985
132049.000000,-158.890079,-6.554545,-82.022245,44.846556,2.612262,-84.255063
132050.000000,107.368925,-20.626756,-89.198331,-30.571871,-8.480105,-81.742187
132051.000000,84.848520,-18.009586,-94.593311,-46.592577,-7.557811,-84.702756
132052.000000,68.432872,-14.809077,-98.732555,-62.530211,-7.708811,-86.737385
132053.000000,34.453567,-5.211632,-103.273478,-98.419620,-7.570725,-90.597807
132054.000000,-21.062017,9.227060,-95.138934,-152.697873,-3.758851,-89.393810
132055.000000,-69.220689,14.204923,-79.923755,167.993850,-1.282166,-83.036429
132056.000000,-85.222288,12.969809,-75.899900,155.045447,-0.431906,-83.401669
132057.000000,-96.842625,7.860095,-76.134115,135.958667,1.580199,-87.560120
132058.000000,-130.484238,1.353284,-73.847033,98.575754,4.345927,-85.310937
132059.000000,-175.795338,-8.561856,-70.719058,56.652045,1.040374,-79.230089
132060.000000,150.924706,-15.141406,-66.866389,29.433057,-2.634174,-71.982664
132061.000000,125.921706,-17.964629,-70.077682,8.383302,-4.013742,-69.596141
132062.000000,121.842814,-19.027373,-71.671411,8.980797,-4.013096,-71.277253
132063.000000,153.492432,-15.269069,-70.175086,39.269448,-1.688614,-77.231192
132064.000000,145.424760,-16.419292,-72.589214,32.786714,-2.160345,-77.523688
132065.000000,75.064125,-15.394633,-95.382867,-36.093261,-7.141438,-83.839196
132066.000000,39.054975,-6.603694,-102.338992,-75.396829,-8.482268,-88.516583
132067.000000,17.328225,-0.200115,-108.532543,-105.499178,-10.531837,-98.063584
132068.000000,-10.759684,6.014792,-108.426557,-141.312830,-8.861528,-107.392617
132069.000000,-79.667091,8.472590,-93.635904,148.703953,3.758318,-107.496356
132070.000000,-138.543800,1.951564,-82.876660,95.996714,7.030466,-95.790543
132071.000000,-160.636129,-2.661228,-78.960269,82.912883,6.857228,-91.403406
132072.000000,165.683628,-11.791218,-74.019577,60.584929,2.774366,-83.652620
132073.000000,118.212633,-23.611439,-83.106277,28.966468,-2.874078,-83.516168
132074.000000,47.274165,-17.639178,-102.990094,-16.436667,-4.964592,-84.350745
132075.000000,-24.272787,12.532925,-97.167193,-70.695163,2.580383,-81.904293
132076.000000,-54.271440,28.439296,-87.704500,-83.733923,9.531317,-76.334961
132077.000000,86.031923,15.888037,71.368456,-98.456425,-36.443825,-116.622708
132078.000000,162.020033,-34.886662,-165.154915,-158.315211,-29.120852,-110.560438
132079.000000,177.190099,-19.466302,140.996538,-174.723387,-2.612552,124.593306
132080.000000,148.189871,-42.264867,102.505186,-110.194852,-30.282399,38.458981
132081.000000,149.993958,-12.269679,59.183265,-35.015348,-12.473299,-135.997527
132082.000000,174.469726,3.383100,-32.441388,143.315425,39.800081,110.040101
132083.000000,-159.198930,-9.255727,-92.912448,3.297272,-42.154785,-153.042314
132084.000000,-138.627051,-22.007173,-117.502404,160.236944,-25.700135,-33.364447
132085.000000,-104.715731,-41.174813,-109.439937,-157.265378,32.294681,-52.089742
132086.000000,-12.957046,-9.884693,-52.373317,-26.101097,29.142154,-143.279354
132087.000000,56.413574,50.552030,-75.944675,46.955721,-30.861066,-127.422316
132088.000000,154.999095,32.416905,-149.451137,134.451904,-27.701513,-75.260642
132089.000000,-173.546704,-3.992315,-153.540721,171.754759,-2.691738,-60.853689
132090.000000,-162.645807,-14.932953,-142.786804,172.636156,-2.920325,-52.574026
132091.000000,-161.665086,-14.818047,-139.775976,168.698272,-6.726280,-50.692134
132092.000000,-156.961973,-20.239890,-137.733884,174.535298,-1.827739,-49.872897
132093.000000,-157.295217,-21.754543,-143.386572,179.818027,3.448383,-55.516123
132094.000000,-142.280491,-39.313942,-144.628731,-145.789064,26.394551,-74.315775
132095.000000,-39.805834,-40.950978,-66.221843,-49.232275,30.602462,-130.947819
132096.000000,23.517539,38.216475,-56.403159,30.227134,-16.825852,-133.750525
132097.000000,-166.856519,-14.256912,-147.804339,170.595902,-4.719292,-62.588430
132098.000000,19.167221,24.149876,-51.380369,-11.814037,14.236631,-138.101935
132099.000000,173.498533,5.055234,-120.962393,92.887707,-50.044235,-82.808041
132100.000000,-155.576644,-12.306070,-103.693560,116.109868,-54.138071,-57.569431
132101.000000,-155.441741,-14.084380,-112.010328,128.910495,-45.487310,-52.866419
